标题,url,已更新章节数,更新频率（天）,读者数,评论数,最后更新时间,作品类型,总评分,别名（中文名）,标签,作者,平台,是否翻译完成
Outrageous,https://www.novelupdates.com/series/outrageous/,61,1.2,868,15,04-30-2023,"['Comedy', 'Drama', 'Romance', 'Yuri']",4.3,离谱,"['Acting', 'Beautiful Female Lead', 'Caring Protagonist', 'Celebrities', 'Clingy Lover', 'Devoted Love Interests', 'Female Protagonist', 'Loneliness', 'Love Interest Falls in Love First', 'Modern Day', 'Popular Love Interests', 'Showbiz', 'System Administrator', 'Tragic Past', 'Transmigration', 'Wealthy Characters']",热到昏厥,jjwxc,No
Blame The Villain For Being Too Beautiful,https://www.novelupdates.com/series/blame-the-villain-for-being-too-beautiful/,147,1,553,6,04-29-2023,"['Fantasy', 'Tragedy', 'Yuri']",3.9,只怪反派太貌美[快穿],"['Hard-Working Protagonist', 'Love Interest Falls in Love First', 'Naive Protagonist', 'System Administrator', 'Transmigration', 'World Hopping']",予渔,jjwxc,No
To Travel by the Edge of a Creek,https://www.novelupdates.com/series/to-travel-by-the-edge-of-a-creek/,52,14.1,398,1,04-29-2023,"['Historical', 'Martial Arts', 'Yuri']",4.1,缘溪行,"['Ancient China', 'Cultivation', 'Daoism', 'Enemies Become Lovers', 'Friends Become Enemies', 'Love at First Sight', 'Naive Protagonist', 'Older Love Interests', 'Reversible Couple']",穆鱼,Chang Pei (gongzicp),No
Forbidden To Be Tempted,https://www.novelupdates.com/series/forbidden-to-be-tempted/,42,1,165,4,04-29-2023,"['Drama', 'Romance', 'Shoujo Ai', 'Yuri']",3.8,禁止动心,"['Beautiful Female Lead', 'Contracts', 'Manipulative Characters', 'Modern Day', 'Older Love Interests', 'Past Trauma', 'Sadistic Characters', 'Second Chance', 'Stalkers']",璟梧,jjwxc,No
Pat Me Please,https://www.novelupdates.com/series/pat-me-please/,47,1,162,0,04-30-2023,"['Fantasy', 'Romance', 'Yuri']",4.2,帮我拍拍,"['Female Protagonist', 'Love Triangles', 'Lovers Reunited', 'Modern Day', 'Time Travel', 'Voice Actors', 'Writers']",七小皇叔,Chang Pei (gongzicp),No
"On the Wedding Night, Ms. Cui Realized",https://www.novelupdates.com/series/on-the-wedding-night-ms-cui-realized/,26,4.5,526,2,04-29-2023,"['Drama', 'Fantasy', 'Romance', 'Yuri']",4.5,新婚夜，崔小姐悟了,"['Ancient China', 'Blind Protagonist', 'Cross-dressing', 'Marriage', 'Reincarnation', 'Second Chance']",三月春光不老,jjwxc,No
Little Cannon Fodder is Really Panicking [Quick Transmigration],https://www.novelupdates.com/series/little-cannon-fodder-is-really-panicking-quick-transmigration/,10,2.5,171,0,04-29-2023,"['Comedy', 'Fantasy', 'Horror', 'Mystery', 'Romance', 'Shoujo Ai', 'Yuri']",4.2,小炮灰真的好慌[快穿],"['Calm Protagonist', 'Clever Protagonist', 'Cold Love Interests', 'Murders', 'Mystery Solving', 'Serial Killers', 'Smart Couple', 'Survival', 'System Administrator', 'Transmigration', 'World Hopping', 'World Travel']",千觅荷,jjwxc,No
The Princess’ Shadow Guard Cannot Be Too Clever,https://www.novelupdates.com/series/the-princess-shadow-guard-cannot-be-too-clever/,68,1,518,2,04-29-2023,"['Historical', 'Romance', 'Yuri']",4,郡主的暗卫不能太聪明,"['Different Social Status', 'Disabilities', 'Female Protagonist', 'Master-Servant Relationship', 'Misunderstandings', 'Possessive Characters', 'Yandere']",森林长春,jjwxc,No
I Became a Witch in a World Full of Urban Legends,https://www.novelupdates.com/series/i-became-a-witch-in-a-world-full-of-urban-legends/,31,2.3,542,2,04-28-2023,"['Action', 'Comedy', 'Fantasy', 'Gender Bender', 'Supernatural', 'Yuri']",4.1,在充满怪谈的世界里成为魔女,"['Adapted to Manhua', 'Female Protagonist', 'Ghosts', 'Hiding True Abilities', 'Hiding True Identity', 'Male Protagonist', 'Male to Female', 'Misunderstandings', 'Modern Day', 'Psychic Powers', 'Thriller']",吃土的书语,SFACG,No
There Are Always Teachers Who Want To Ask Out Parents,https://www.novelupdates.com/series/there-are-always-teachers-who-want-to-ask-out-parents/,74,1.1,284,2,04-28-2023,"['Drama', 'Josei', 'Romance', 'Shoujo Ai', 'Yuri']",3.9,总有老师要请家长,"['Beautiful Female Lead', 'Childcare', 'Clingy Lover', 'Modern Day', 'Older Love Interests', 'Shy Characters', 'Single Parent', 'Slow Romance', 'Stalkers', 'Teachers']",璟梧,jjwxc,No
My Princess Has Been Reborn,https://www.novelupdates.com/series/my-princess-has-been-reborn/,215,1.3,1800,11,04-28-2023,"['Drama', 'Fantasy', 'Historical', 'Romance', 'Yuri']",4.3,我的公主重生了,"['Absent Parents', 'Ancient China', 'Aristocracy', 'Betrayal', 'Clever Protagonist', 'Cohabitation', 'Couple Growth', 'Court Official', 'Cross-dressing', 'Death', 'Devoted Love Interests', 'Doting Older Siblings', 'Doting Parents', 'Engagement', 'Female Protagonist', 'First Love', 'Hiding True Identity', 'Love Interest Falls in Love First', 'Lovers Reunited', 'Multiple Identities', 'Multiple POV', 'Multiple Reincarnated Individuals', 'Multiple Timelines', 'Murders', 'Mystery Solving', 'Orphans', 'Persistent Love Interests', 'Possessive Characters', 'Power Couple', 'Reincarnation', 'Reversible Couple', 'Royalty', 'Secrets', 'Sibling Rivalry', 'Siblings', 'Smart Couple', 'Twins', 'Wars', 'Wealthy Characters']",或许有一天,jjwxc,No
The Male Lead’s Backyard is on Fire,https://www.novelupdates.com/series/the-male-leads-backyard-is-on-fire/,100,49.8,2130,15,04-28-2023,"['Drama', 'Fantasy', 'Martial Arts', 'Romance', 'Yuri']",4.4,男主后院着火了,"['Abusive Characters', 'Ancient China', 'Antihero Protagonist', 'Arrogant Characters', 'Beautiful Female Lead', 'Bullying', 'Calm Protagonist', 'Cold Protagonist', 'Devoted Love Interests', 'Divorce', 'Female Protagonist', 'First Love', 'Generals', 'Heartwarming', 'Kind Love Interests', 'Love Interest Falls in Love First', 'Protagonist Strong from the Start', 'Royalty', 'Strong to Stronger', 'Transmigration', 'Unconditional Love', 'Villainess Noble Girls']",七千折戏,jjwxc,No
Love from the Male Protagonist’s Harem,https://www.novelupdates.com/series/love-from-the-male-protagonists-harem/,189,3.4,1211,11,04-28-2023,"['Comedy', 'Drama', 'Historical', 'Romance', 'Xianxia', 'Yuri']",4.4,来自男主后宫的宠爱[穿书],"['Ancient China', 'Beautiful Female Lead', 'Bisexual Protagonist', 'Character Growth', 'Cold Love Interests', 'Corruption', 'Cross-dressing', 'Cruel Characters', 'Dense Protagonist', 'Female Protagonist', 'Flashbacks', 'Kind Love Interests', 'Loneliness', 'Love Interest Falls in Love First', 'Mysterious Past', 'Non-linear Storytelling', 'Past Plays a Big Role', 'Possessive Characters', 'Schemes And Conspiracies', 'Secret Identity', 'Shameless Protagonist', 'Slow Romance', 'Strong Love Interests', 'Yandere']",楚柒墨,jjwxc,No
What Should I Do if My Younger Brother’s Crush Has Taken a Liking to Me?,https://www.novelupdates.com/series/what-should-i-do-if-my-younger-brothers-crush-has-taken-a-liking-to-me/,20,2.9,312,4,04-24-2023,"['Romance', 'School Life', 'Slice of Life', 'Yuri']",4.7,被我弟的女神看上了怎么办,"['Beautiful Female Lead', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Day', 'Siblings']",金夜无眠,jjwxc,No
Considering the Possibility of Falling in Love With the Villain,https://www.novelupdates.com/series/considering-the-possibility-of-falling-in-love-with-the-villain/,42,14,1949,3,04-29-2023,"['Romance', 'Supernatural', 'Yuri']",4.2,论与魔王恋爱的可能性,"['Apocalypse', 'Beautiful Female Lead', 'Calm Protagonist', 'Love Interest Falls in Love First', 'Modern Day', 'Second Chance', 'Strong Love Interests', 'Survival', 'Yandere', 'Zombies']",白骨合,jjwxc,No
Reborn as a Transcendent,https://www.novelupdates.com/series/reborn-as-a-transcendent/,405,3.4,2210,24,04-28-2023,"['Action', 'Adventure', 'Fantasy', 'Gender Bender', 'Harem', 'Shoujo Ai', 'Xuanhuan', 'Yuri']",3.4,我转生就超神,"['Adapted to Manhua', 'Arrogant Characters', 'Beautiful Female Lead', 'Cultivation', 'Fearless Protagonist', 'Handsome Male Lead', 'Level System', 'Loyal Subordinates', 'Lucky Protagonist', 'Male to Female', 'MMORPG', 'Modern Day', 'Money Grubber', 'Nationalism', 'Overpowered Protagonist', 'Racism', 'Reincarnation', 'Ruthless Protagonist', 'Second Chance', 'Strong to Stronger', 'Sudden Strength Gain', 'Virtual Reality', 'Wealthy Characters']",疯花,SFACG,No
My CP Rumor With The Movie Queen Has Gone Viral,https://www.novelupdates.com/series/my-cp-rumor-with-the-movie-queen-has-gone-viral/,20,1,264,0,04-24-2023,"['Comedy', 'Romance', 'Shoujo Ai', 'Yuri']",4.9,我的影后绯间cp掉马了,"['Acting', 'Beautiful Female Lead', 'Modern Day', 'Older Love Interests', 'Showbiz']",辞旧迎卿,jjwxc,No
The Eldest Martial Sister Gave Up Treatment,https://www.novelupdates.com/series/the-eldest-martial-sister-gave-up-treatment/,197,1.3,1741,10,04-27-2023,"['Comedy', 'Drama', 'Ecchi', 'Harem', 'Xuanhuan', 'Yuri']",4.3,大师姐弃疗了,"['Beautiful Female Lead', 'Comedic Undertone', 'Cultivation', 'Fantasy World', 'Fast Cultivation', 'Female Master', 'Female Protagonist', 'Game Ranking System', 'Love Interest Falls in Love First', 'Martial Spirits', 'Misunderstandings', 'Reincarnation', 'Romantic Subplot', 'Strong to Stronger', 'System Administrator', 'Unique Cultivation Technique', 'Villainess Noble Girls', 'Weak Protagonist', 'Weak to Strong']",三杯半可乐,Ciweimao,No
School Heroine Secretly Loves Me,https://www.novelupdates.com/series/school-heroine-secretly-loves-me/,75,4.1,619,1,04-25-2023,"['Drama', 'Fantasy', 'Romance', 'School Life', 'Shoujo Ai', 'Tragedy', 'Yuri']",4.1,校花女主暗恋我,"['Beautiful Female Lead', 'Businessmen', 'Celebrities', 'Clever Protagonist', 'Clingy Lover', 'Death', 'Devoted Love Interests', 'Hard-Working Protagonist', 'Kind Love Interests', 'Love Interest Falls in Love First', 'Modern Day', 'Popular Love Interests', 'Possessive Characters', 'System Administrator', 'Transmigration', 'Unconditional Love', 'Wealthy Characters']",['EZlZed'],jjwxc,No
"Please Bully Me, Miss Villainess!",https://www.novelupdates.com/series/please-bully-me-miss-villainess/,43,14.4,776,1,04-25-2023,"['Comedy', 'Drama', 'Fantasy', 'Romance', 'School Life', 'Yuri']",4.1,请欺负我吧，恶役小姐！,"['Academy', 'Adapted to Manhua', 'Beautiful Female Lead', 'Fantasy World', 'Female Protagonist', 'Love Interest Falls in Love First', 'Magic', 'Nobles', 'Otome Game', 'Reincarnated in a Game World', 'Reincarnated in Another World', 'Reincarnation', 'Transmigration', 'Tsundere', 'Villainess Noble Girls']",赤色陷阱,Ciweimao,No
Give Me Another Smile,https://www.novelupdates.com/series/give-me-another-smile/,147,3.1,530,2,04-26-2023,"['Drama', 'Fantasy', 'Romance', 'Yuri']",3.8,再笑一个呗,"['Childhood Friends', 'Female Protagonist', 'Modern Day', 'Reincarnation', 'Second Chance', 'Time Skip']",千皈依,Shubl,No
Accidentally Pregnant With The Boss’s Child GL,https://www.novelupdates.com/series/accidentally-pregnant-with-the-bosss-child-gl/,4,1.8,126,0,04-26-2023,"['Drama', 'Romance', 'Yuri']",4.6,不小心怀了上司的孩子gl,"['Beautiful Female Lead', 'Boss-Subordinate Relationship', 'Devoted Love Interests', 'Doting Love Interests', 'First Love', 'Love Interest Falls in Love First', 'Office Romance', 'Pregnancy', 'Wealthy Characters']",柿原纯,jjwxc,No
Demon Sword Maiden,https://www.novelupdates.com/series/demon-sword-maiden/,827,1.8,4707,40,04-25-2023,"['Action', 'Ecchi', 'Fantasy', 'Gender Bender', 'Mystery', 'Shoujo Ai', 'Yuri']",4,妖刀姬,"['Amnesia', 'Ancient Times', 'Beautiful Female Lead', 'Cultivation', 'Demon Lord', 'Demons', 'Devoted Love Interests', 'Familiars', 'Famous Protagonist', 'Female Protagonist', 'Ghosts', 'God Protagonist', 'Gods', 'Gore', 'Loli', 'Male to Female', 'Master-Disciple Relationship', 'Master-Servant Relationship', 'Monsters', 'Mythology', 'Near-Death Experience', 'Onmyouji', 'Poor to Rich', 'Possessive Characters', 'Reincarnated in Another World', 'Reincarnation', 'Schemes And Conspiracies', 'Shikigami', 'Soul Power', 'Souls', 'Strong Love Interests', 'Strong to Stronger', 'Sudden Strength Gain', 'Sword Wielder', 'Time Manipulation', 'Transported to Another World', 'Tsundere', 'Weak to Strong', 'Yandere']",罗将神,SFACG,No
"On the Day I Ascended the Throne, I Found Out That I Was the Villain",https://www.novelupdates.com/series/on-the-day-i-ascended-the-throne-i-found-out-that-i-was-the-villain/,62,3.9,468,4,04-28-2023,"['Fantasy', 'Historical', 'Shoujo Ai', 'Yuri']",3.9,登基的那天朕发现自己是反派,"['Abandoned Children', 'Ancient Times', 'Beautiful Female Lead', 'Chat Rooms', 'Empires', 'Kingdom Building', 'Omegaverse']",晓梦致幻生,jjwxc,No
"Even If I’m Reborn as a Cute Dragon Girl, I Will Still Make a Harem",https://www.novelupdates.com/series/even-if-im-reborn-as-a-cute-dragon-girl-i-will-still-make-a-harem/,416,3.5,3346,27,04-27-2023,"['Adventure', 'Comedy', 'Fantasy', 'Gender Bender', 'Harem', 'School Life', 'Shoujo Ai', 'Yuri']",3.3,就算穿越成龙族萝莉吾也要开后宫,"['Age Progression', 'Age Regression', 'Appearance Changes', 'Appearance Different from Actual Age', 'Beautiful Female Lead', 'Child Protagonist', 'Chuunibyou', 'Curses', 'Doting Parents', 'Dragons', 'Eye Powers', 'Female Master', 'Female Protagonist', 'Goddesses', 'Loli', 'Male to Female', 'Overpowered Protagonist', 'Protagonist Strong from the Start', 'Race Change', 'Reincarnated in Another World', 'Royalty', 'Soul Power', 'Souls', 'Strong to Stronger']",子与我非鱼,SFACG,No
After the Soft Sister Differentiated Into A,https://www.novelupdates.com/series/after-the-soft-sister-differentiated-into-a/,33,20.8,828,9,04-10-2023,"['Comedy', 'Romance', 'School Life', 'Yuri']",4.1,软妹分化成A之后,"['Dense Protagonist', 'Enemies Become Lovers', 'Omegaverse', 'Rivalry']",金夜无眠,jjwxc,No
I Woke up to Find I Have a Child,https://www.novelupdates.com/series/i-woke-up-to-find-i-have-a-child/,59,20.4,1058,6,04-10-2023,"['Drama', 'Romance', 'Yuri']",4.5,一觉醒来我有娃了[娱乐圈],"['Acting', 'Amnesia', 'Beautiful Female Lead', 'Cute Children', 'Kidnappings', 'Marriage', 'Misunderstandings', 'Modern Day', 'Past Plays a Big Role', 'Past Trauma', 'Pregnancy', 'Second Chance', 'Slow Romance']",思镜渠,jjwxc,No
Me & Villainess’s CP Exploded In The Entertainment Circle,https://www.novelupdates.com/series/me-villainesss-cp-exploded-in-the-entertainment-circle/,25,5.9,506,3,04-22-2023,"['Comedy', 'Fantasy', 'Slice of Life', 'Yuri']",4.3,和女配的cp爆红娱乐圈[穿书],"['Beautiful Female Lead', 'Female Protagonist', 'Modern Day', 'Showbiz', 'Transmigration']",爱吃甜桔,jjwxc,No
Cypress Boat,https://www.novelupdates.com/series/cypress-boat/,3,9.7,78,0,04-08-2023,"['Drama', 'Psychological', 'Romance', 'Shoujo Ai', 'Yuri']",5,Кипарисовый челнок,"['Artists', 'Childhood Love', 'Cohabitation', 'Death of Loved Ones', 'Time Loop']",若花辞树,jjwxc,No
I Am More Paranoid Than The Villainess,https://www.novelupdates.com/series/i-am-more-paranoid-than-the-villainess/,25,14.1,752,3,04-11-2023,"['Comedy', 'Drama', 'Fantasy', 'Mature', 'School Life', 'Slice of Life', 'Yuri']",4,我比反派更偏执[穿书],"['Beautiful Female Lead', 'Calm Protagonist', 'Clever Protagonist', 'Cold Protagonist', 'Confident Protagonist', 'Enemies Become Lovers', 'Poor to Rich', 'Protagonist Falls in Love First', 'Time Skip', 'Transmigration', 'Tsundere', 'Yandere']",妘染,jjwxc,No
The Witch Nichang,https://www.novelupdates.com/series/the-witch-nichang/,76,14.3,1692,8,04-08-2023,"['Action', 'Drama', 'Martial Arts', 'Romance', 'Slice of Life', 'Wuxia', 'Yuri']",4.4,魔女霓裳,"['Abandoned Children', 'Absent Parents', 'Adopted Children', 'Age Progression', 'Ancient China', 'Beautiful Female Lead', 'Calm Protagonist', 'Caring Protagonist', 'Character Growth', 'Clever Protagonist', 'Couple Growth', 'Devoted Love Interests', 'Fanfiction', 'Hard-Working Protagonist', 'Selfless Protagonist', 'Slow Romance', 'Smart Couple', 'Transmigration', 'Unconditional Love']",八千岁,jjwxc,No
The Vicious Supporting Female Character And The White Lotus Female Lead,https://www.novelupdates.com/series/the-vicious-supporting-female-character-and-the-white-lotus-female-lead/,314,3.2,2756,21,04-14-2023,"['Completed', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'School Life', 'Yuri']",4.5,恶毒女配与白莲花［快穿］,"['Acting', 'Beautiful Female Lead', 'Calm Protagonist', 'Clever Protagonist', 'Dense Protagonist', 'Episodic', 'Famous Protagonist', 'Female Protagonist', 'First Love', 'Friendship', 'Heartwarming', 'Interdimensional Travel', 'Kind Love Interests', 'Love Interest Falls in Love First', 'Modern Day', 'Multiple Realms', 'Quiet Characters', 'Shy Characters', 'Strong Love Interests', 'Strong to Stronger', 'System Administrator', 'Transmigration', 'Unconditional Love', 'Villainess Noble Girls', 'Wealthy Characters', 'World Hopping', 'World Travel']",戈云栖,jjwxc,Yes
"Mistress, I Was Wrong",https://www.novelupdates.com/series/mistress-i-was-wrong/,280,8.5,3970,26,04-16-2023,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Xuanhuan', 'Yuri']",4.3,女主大人，我错了,"['Academy', 'Alchemy', 'Ancient Times', 'Beast Companions', 'Beasts', 'Beautiful Female Lead', 'Caring Protagonist', 'Character Growth', 'Cold Love Interests', 'Cultivation', 'Cute Protagonist', 'Demonic Cultivation Technique', 'Determined Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Female Protagonist', 'Genius Protagonist', 'Hard-Working Protagonist', 'Heartwarming', 'Jealousy', 'Love Interest Falls in Love First', 'Magic', 'Magical Space', 'Mob Protagonist', 'Multiple Reincarnated Individuals', 'Mysterious Family Background', 'Persistent Love Interests', 'Pets', 'Pill Concocting', 'Possessive Characters', 'R*pe', 'Special Abilities', 'Straight Uke', 'Strong Love Interests', 'Transmigration', 'Unconditional Love', 'Villainess Noble Girls']",雁过吾痕,jjwxc,No
The Goddess and the Ugly Duckling,https://www.novelupdates.com/series/the-goddess-and-the-ugly-duckling/,42,14.8,411,4,01-28-2023,"['Romance', 'School Life', 'Shoujo Ai', 'Yuri']",3.6,女神与丑小鸭,"['Doting Love Interests', 'Female Protagonist', 'Popular Love Interests', 'Ugly Protagonist']",['Leonie'],jjwxc,No
Middle-aged Love Patch,https://www.novelupdates.com/series/middle-aged-love-patch/,21,40.7,348,2,02-04-2023,"['Fantasy', 'Romance', 'Sci-fi', 'Yuri']",4.3,中年恋爱补丁,"['Adapted to Manhua', 'Beautiful Female Lead', 'Divorce', 'Futuristic Setting', 'Game Elements', 'Love Interest Falls in Love First', 'Power Couple', 'Younger Love Interests']",宁远,jjwxc,No
Running Away Hand in Hand with the Second Female Lead,https://www.novelupdates.com/series/running-away-hand-in-hand-with-the-second-female-lead/,72,17.8,2247,12,04-20-2023,"['Comedy', 'Romance', 'School Life', 'Yuri']",4.6,和女二手拉手跑了[穿书],"['Beautiful Female Lead', 'Devoted Love Interests', 'Doting Parents', 'Female Protagonist', 'Modern Day', 'Protagonist Falls in Love First', 'Transmigration']",成逆,jjwxc,No
Purely by Accident,https://www.novelupdates.com/series/purely-by-accident/,20,38.2,712,7,02-20-2023,"['Comedy', 'Drama', 'Historical', 'Romance', 'Yuri']",4.5,纯属意外,"['Adapted to Drama CD', 'Ancient Times', 'Beautiful Female Lead', 'Cross-dressing', 'Doting Love Interests', 'Hiding True Identity', 'Marriage', 'Royalty']",冷千山,jjwxc,No
For The Rest of Our Life,https://www.novelupdates.com/series/for-the-rest-of-our-life/,54,53.4,871,9,02-22-2023,"['Drama', 'Romance', 'School Life', 'Slice of Life', 'Yuri']",4.2,余生为期,"['Beautiful Female Lead', 'Character Growth', 'Childhood Love', 'Childhood Promise', 'College/University', 'Confident Protagonist', 'Determined Protagonist', 'Devoted Love Interests', 'Doting Parents', 'Famous Protagonist', 'Female Protagonist', 'First Love', 'Hard-Working Protagonist', 'Heartwarming', 'Love at First Sight', 'Modern Day', 'Older Love Interests', 'Protagonist Falls in Love First', 'Unconditional Love', 'Unrequited Love', 'Writers']",['Min Ran'],jjwxc,No
Adjacent Street,https://www.novelupdates.com/series/adjacent-street/,1,52,69,0,03-09-2023,"['Romance', 'Yuri']",3.7,邻街gl,"['Cute Protagonist', 'Love at First Sight']",黎和里,jjwxc,No
The Harem Rescue Project,https://www.novelupdates.com/series/the-harem-rescue-project/,19,45,868,9,03-16-2023,"['Action', 'Drama', 'Harem', 'Martial Arts', 'Romance', 'Xianxia', 'Yuri']",4.3,后宫拯救计划［穿书］,"['Appearance Changes', 'Beautiful Female Lead', 'Demonic Cultivation Technique', 'Female Protagonist', 'Love Interest Falls in Love First', 'Master-Disciple Relationship', 'Persistent Love Interests', 'Strong Love Interests', 'System Administrator', 'Transmigration', 'Yandere']",北城墨景,jjwxc,No
"Villainess, I’ll Pamper You",https://www.novelupdates.com/series/villainess-ill-pamper-you/,55,24.5,2233,18,03-23-2023,"['Drama', 'Fantasy', 'Romance', 'School Life', 'Slice of Life', 'Yuri']",4.5,女配，我来宠[快穿],"['Amnesia', 'Ancient China', 'Beautiful Female Lead', 'Bullying', 'Calm Protagonist', 'Character Growth', 'Clever Protagonist', 'Cold Protagonist', 'Devoted Love Interests', 'Episodic', 'Female Protagonist', 'Glasses-wearing Protagonist', 'Interdimensional Travel', 'Jealousy', 'Love Interest Falls in Love First', 'Marriage', 'Mob Protagonist', 'Modern Day', 'Multiple Realms', 'Non-humanoid Protagonist', 'Overpowered Protagonist', 'Protagonist Strong from the Start', 'Ruthless Protagonist', 'System Administrator', 'Transmigration', 'Villainess Noble Girls', 'Wealthy Characters', 'World Hopping', 'World Travel']",千觅荷,jjwxc,No
Thawing the Glacier,https://www.novelupdates.com/series/thawing-the-glacier/,1,35,78,0,03-26-2023,"['Romance', 'Slice of Life', 'Yuri']",5,冰川渐暖,"['Beautiful Female Lead', 'Cold Protagonist', 'College/University']",秦淮洲,jjwxc,No
Back When My Wife Was a Teenager,https://www.novelupdates.com/series/back-when-my-wife-was-a-teenager/,18,25.9,535,5,03-30-2023,"['Romance', 'School Life', 'Yuri']",4.6,回到老婆少年时,"['Child Abuse', 'Delinquents', 'Female Protagonist', 'Modern Day', 'Tsundere']",南和禾一,jjwxc,No
The Time I Found Out the Heroine of a Certain Top Post Was Me,https://www.novelupdates.com/series/the-time-i-found-out-the-heroine-of-a-certain-top-post-was-me/,11,45.3,434,2,12-26-2022,"['Completed', 'Romance', 'School Life', 'Yuri']",4.4,当我发现某贴吧高楼的女主是自己时,"['Charming Protagonist', 'College/University', 'Protagonist Falls in Love First', 'Secret Crush', 'Short Story']",一只花夹子,jjwxc,Yes
